IM ACC ALT AZ MWAVE MFILT MASK FILTER FOCUS APERTURE COMMENT
0,-1.00000,-1.00000,-1.00000,-1.00000,-1.00000,0.00000,0.00000,-1.00000,-1.00000,test
#Time, Charge, nphotons
1478654315.6295320988 1.4589170000e-09 6.2840513103e+00
1478654316.4522891045 4.6695690000e-09 2.0113420567e+01
1478654316.8282771111 6.3447640000e-09 2.7329054722e+01
1478654317.2029080391 7.6600950000e-09 3.2994632334e+01
1478654317.5780160427 8.8081130000e-09 3.7939535997e+01
1478654317.9526491165 9.8547600000e-09 4.2447800314e+01
1478654318.3274149895 1.0837560000e-08 4.6681053904e+01
1478654318.7023849487 1.1772780000e-08 5.0709364264e+01
1478654319.0772490501 1.2670290000e-08 5.4575244840e+01
1478654319.4520890713 1.3540640000e-08 5.8324138065e+01
1478654323.4690580368 2.1957530000e-08 9.4578543650e+01
1478654323.8441829681 2.2700610000e-08 9.7779241735e+01
1478654324.2198939323 2.3435100000e-08 1.0094293977e+02
1478654324.5947899818 2.4160180000e-08 1.0406610574e+02
1478654324.9696099758 2.4880550000e-08 1.0716898414e+02
1478654325.3444221020 2.5597040000e-08 1.1025515005e+02
1478654325.7193009853 2.6307740000e-08 1.1331637647e+02
1478654329.7461390495 3.3779820000e-08 1.4550116431e+02
1478654330.1225020885 3.4462020000e-08 1.4843963155e+02
1478654330.4984290600 3.5140570000e-08 1.5136237699e+02
1478654330.8732569218 3.5813280000e-08 1.5425996757e+02
1478654331.2480659485 3.6484250000e-08 1.5715006338e+02
1478654331.6226999760 3.7152190000e-08 1.6002710795e+02
1478654331.9976129532 3.7819430000e-08 1.6290113738e+02
1478654332.3724570274 3.8483390000e-08 1.6576103874e+02
1478654332.7473158836 3.9141800000e-08 1.6859703436e+02
1478654333.1221499443 3.9796600000e-08 1.7141748048e+02
